[2025-07-02 13:14:46] Key: 3 | CPU: 0.0% | RAM: 87.2% | Disk: 59077925888 | Net: (25666232, 143239374) | Procs: 214
[2025-07-02 13:15:00] Key: J | CPU: 3.1% | RAM: 89.6% | Disk: 59102958592 | Net: (25668550, 143242777) | Procs: 217
[2025-07-02 13:15:01] Key: 3 | CPU: 2.5% | RAM: 89.6% | Disk: 59102958592 | Net: (25668550, 143242777) | Procs: 217
[2025-07-02 13:15:01] Key: W | CPU: 0.0% | RAM: 89.6% | Disk: 59102968832 | Net: (25668550, 143242777) | Procs: 217
[2025-07-02 13:15:01] Key: r | CPU: 1.9% | RAM: 89.6% | Disk: 59102968832 | Net: (25668550, 143242777) | Procs: 217
[2025-07-02 13:15:02] Key: J | CPU: 1.8% | RAM: 89.6% | Disk: 59102968832 | Net: (25668550, 143242777) | Procs: 217
[2025-07-02 13:15:02] Key: s | CPU: 1.8% | RAM: 89.6% | Disk: 59102968832 | Net: (25668550, 143242777) | Procs: 217
[2025-07-02 13:15:02] Key: 7 | CPU: 0.6% | RAM: 89.6% | Disk: 59102970880 | Net: (25668605, 143242843) | Procs: 217
[2025-07-02 13:15:02] Key: t | CPU: 2.5% | RAM: 89.6% | Disk: 59102970880 | Net: (25668605, 143242843) | Procs: 217
[2025-07-02 13:15:03] Key: n | CPU: 0.0% | RAM: 89.6% | Disk: 59103020032 | Net: (25668660, 143242969) | Procs: 217
[2025-07-02 13:15:03] Key: d | CPU: 0.0% | RAM: 89.5% | Disk: 59103020032 | Net: (25668660, 143242969) | Procs: 217
[2025-07-02 13:15:03] Key: V | CPU: 1.2% | RAM: 89.5% | Disk: 59103026688 | Net: (25668660, 143243031) | Procs: 217
[2025-07-02 13:15:04] Key: 7 | CPU: 0.0% | RAM: 89.5% | Disk: 59103026688 | Net: (25668660, 143243031) | Procs: 217
[2025-07-02 13:15:04] Key: x | CPU: 1.2% | RAM: 89.5% | Disk: 59103075840 | Net: (25668660, 143243031) | Procs: 217
[2025-07-02 13:15:04] Key: W | CPU: 0.6% | RAM: 89.6% | Disk: 59103075840 | Net: (25668660, 143243093) | Procs: 217
[2025-07-02 13:15:05] Key: G | CPU: 1.8% | RAM: 89.6% | Disk: 59103075840 | Net: (25668815, 143243318) | Procs: 219
[2025-07-02 13:15:05] Key: a | CPU: 4.6% | RAM: 89.7% | Disk: 59103138304 | Net: (25668869, 143243318) | Procs: 219
[2025-07-02 13:15:05] Key: M | CPU: 3.1% | RAM: 89.7% | Disk: 59103138304 | Net: (25668869, 143243372) | Procs: 219
[2025-07-02 13:15:06] Key: I | CPU: 1.9% | RAM: 89.8% | Disk: 59103138304 | Net: (25668869, 143243432) | Procs: 219
[2025-07-02 13:15:06] Key: Y | CPU: 1.8% | RAM: 89.8% | Disk: 59103138304 | Net: (25668869, 143243494) | Procs: 219
[2025-07-02 13:15:06] Key: O | CPU: 3.7% | RAM: 89.8% | Disk: 59103211520 | Net: (25668869, 143243494) | Procs: 219
[2025-07-02 13:15:07] Key: 8 | CPU: 3.7% | RAM: 89.8% | Disk: 59103219712 | Net: (25668869, 143243494) | Procs: 219
[2025-07-02 13:15:07] Key: d | CPU: 2.4% | RAM: 89.9% | Disk: 59103219712 | Net: (25668869, 143243494) | Procs: 219
[2025-07-02 13:15:07] Key: K | CPU: 4.3% | RAM: 89.9% | Disk: 59103350784 | Net: (25668869, 143243494) | Procs: 221
[2025-07-02 13:15:08] Key: G | CPU: 3.6% | RAM: 90.1% | Disk: 59103465472 | Net: (25669027, 143243706) | Procs: 221
[2025-07-02 13:15:08] Key: m | CPU: 6.2% | RAM: 90.2% | Disk: 59103465472 | Net: (25670120, 143250559) | Procs: 221
[2025-07-02 13:15:08] Key: U | CPU: 2.5% | RAM: 90.3% | Disk: 59103465472 | Net: (25672926, 143251940) | Procs: 221
[2025-07-02 13:15:09] Key: 7 | CPU: 0.0% | RAM: 90.3% | Disk: 59103465472 | Net: (25674771, 143258620) | Procs: 221
[2025-07-02 13:15:09] Key: R | CPU: 4.2% | RAM: 90.2% | Disk: 59103465472 | Net: (25675072, 143259185) | Procs: 221
[2025-07-02 13:15:09] Key: n | CPU: 0.6% | RAM: 90.2% | Disk: 59103797760 | Net: (25675072, 143259459) | Procs: 221
[2025-07-02 13:15:10] Key: 2 | CPU: 0.6% | RAM: 90.2% | Disk: 59103797760 | Net: (25675072, 143259459) | Procs: 221
[2025-07-02 13:15:10] Key: C | CPU: 1.2% | RAM: 90.2% | Disk: 59103797760 | Net: (25675072, 143259521) | Procs: 221
[2025-07-02 13:15:10] Key: 0 | CPU: 0.0% | RAM: 90.2% | Disk: 59103797760 | Net: (25675072, 143259521) | Procs: 221
[2025-07-02 13:15:10] Key: H | CPU: 0.6% | RAM: 90.2% | Disk: 59103835648 | Net: (25675072, 143259581) | Procs: 221
[2025-07-02 13:15:11] Key: S | CPU: 0.6% | RAM: 90.2% | Disk: 59103835648 | Net: (25675072, 143259581) | Procs: 221
[2025-07-02 13:15:11] Key: U | CPU: 0.0% | RAM: 90.2% | Disk: 59103835648 | Net: (25675072, 143259581) | Procs: 221
[2025-07-02 13:15:11] Key: A | CPU: 1.2% | RAM: 90.2% | Disk: 59103835648 | Net: (25675072, 143259671) | Procs: 221
[2025-07-02 13:15:12] Key: y | CPU: 0.6% | RAM: 90.2% | Disk: 59103947776 | Net: (25675072, 143259671) | Procs: 221
[2025-07-02 13:15:12] Key: Q | CPU: 1.2% | RAM: 90.2% | Disk: 59103947776 | Net: (25675072, 143259891) | Procs: 221
[2025-07-02 13:15:12] Key: t | CPU: 0.6% | RAM: 90.2% | Disk: 59103947776 | Net: (25675072, 143259951) | Procs: 221
[2025-07-02 13:15:13] Key: T | CPU: 1.2% | RAM: 90.2% | Disk: 59104717824 | Net: (25675127, 143260071) | Procs: 221
[2025-07-02 13:15:13] Key: K | CPU: 0.6% | RAM: 90.0% | Disk: 59104789504 | Net: (25675214, 143260148) | Procs: 221
[2025-07-02 13:15:13] Key: G | CPU: 0.0% | RAM: 90.0% | Disk: 59104789504 | Net: (25675214, 143260202) | Procs: 221
[2025-07-02 13:15:14] Key: G | CPU: 0.6% | RAM: 90.0% | Disk: 59104789504 | Net: (25675214, 143260202) | Procs: 221
[2025-07-02 13:15:14] Key: T | CPU: 1.3% | RAM: 90.0% | Disk: 59104789504 | Net: (25675214, 143260202) | Procs: 221
[2025-07-02 13:15:14] Key: V | CPU: 1.2% | RAM: 90.0% | Disk: 59104789504 | Net: (25675214, 143260202) | Procs: 221
[2025-07-02 13:15:15] Key: F | CPU: 1.3% | RAM: 90.0% | Disk: 59104796160 | Net: (25675214, 143260202) | Procs: 221
[2025-07-02 13:15:15] Key: e | CPU: 0.6% | RAM: 90.0% | Disk: 59104796160 | Net: (25675214, 143260202) | Procs: 221
[2025-07-02 13:15:15] Key: 8 | CPU: 0.0% | RAM: 90.0% | Disk: 59104796160 | Net: (25675214, 143260310) | Procs: 221
[2025-07-02 13:15:16] Key: P | CPU: 0.0% | RAM: 90.0% | Disk: 59104796160 | Net: (25675214, 143260370) | Procs: 221
[2025-07-02 13:15:16] Key: p | CPU: 1.9% | RAM: 90.0% | Disk: 59104821248 | Net: (25675214, 143260370) | Procs: 221
[2025-07-02 13:15:16] Key: G | CPU: 0.6% | RAM: 90.0% | Disk: 59104821248 | Net: (25675214, 143260432) | Procs: 221
[2025-07-02 13:15:17] Key: n | CPU: 0.6% | RAM: 90.0% | Disk: 59104821248 | Net: (25675214, 143260432) | Procs: 221
[2025-07-02 13:15:17] Key: N | CPU: 0.0% | RAM: 90.1% | Disk: 59104821248 | Net: (25675214, 143260432) | Procs: 221
[2025-07-02 13:15:17] Key: y | CPU: 0.6% | RAM: 90.1% | Disk: 59104837120 | Net: (25675214, 143260432) | Procs: 221
[2025-07-02 13:15:17] Key: l | CPU: 0.7% | RAM: 90.1% | Disk: 59104837120 | Net: (25675214, 143260432) | Procs: 221
[2025-07-02 13:15:18] Key: a | CPU: 1.8% | RAM: 90.1% | Disk: 59104837120 | Net: (25675214, 143260554) | Procs: 221
[2025-07-02 13:15:18] Key: r | CPU: 0.6% | RAM: 90.1% | Disk: 59104837120 | Net: (25675214, 143260608) | Procs: 221
[2025-07-02 13:15:18] Key: H | CPU: 1.2% | RAM: 90.1% | Disk: 59104919040 | Net: (25675214, 143260608) | Procs: 221
[2025-07-02 13:15:19] Key: r | CPU: 0.6% | RAM: 90.1% | Disk: 59104919040 | Net: (25675214, 143260608) | Procs: 221
[2025-07-02 13:15:19] Key: 4 | CPU: 0.6% | RAM: 90.1% | Disk: 59104919040 | Net: (25675214, 143260608) | Procs: 221
[2025-07-02 13:15:19] Key: b | CPU: 0.0% | RAM: 90.1% | Disk: 59104919040 | Net: (25675214, 143260608) | Procs: 221
[2025-07-02 13:15:20] Key: Y | CPU: 0.6% | RAM: 90.1% | Disk: 59104919040 | Net: (25675214, 143260670) | Procs: 221
[2025-07-02 13:15:20] Key: u | CPU: 2.4% | RAM: 90.0% | Disk: 59105103872 | Net: (25675214, 143260670) | Procs: 221
[2025-07-02 13:15:20] Key: q | CPU: 0.6% | RAM: 90.0% | Disk: 59105103872 | Net: (25675214, 143260670) | Procs: 221
[2025-07-02 13:15:21] Key: b | CPU: 0.6% | RAM: 90.0% | Disk: 59105103872 | Net: (25675214, 143260670) | Procs: 221
[2025-07-02 13:15:21] Key: B | CPU: 0.0% | RAM: 90.0% | Disk: 59105103872 | Net: (25675214, 143260670) | Procs: 221
[2025-07-02 13:15:21] Key: 8 | CPU: 0.6% | RAM: 90.1% | Disk: 59105104896 | Net: (25675214, 143260890) | Procs: 221
[2025-07-02 13:15:22] Key: R | CPU: 0.6% | RAM: 90.1% | Disk: 59105104896 | Net: (25675214, 143260890) | Procs: 221
[2025-07-02 13:15:22] Key: e | CPU: 0.6% | RAM: 90.1% | Disk: 59105104896 | Net: (25675214, 143260890) | Procs: 221
[2025-07-02 13:15:22] Key: c | CPU: 0.0% | RAM: 90.1% | Disk: 59105104896 | Net: (25675214, 143260950) | Procs: 221
[2025-07-02 13:15:23] Key: n | CPU: 0.0% | RAM: 90.1% | Disk: 59105106432 | Net: (25675269, 143260950) | Procs: 221
[2025-07-02 13:15:23] Key: F | CPU: 0.6% | RAM: 90.1% | Disk: 59105106432 | Net: (25675269, 143261016) | Procs: 221
[2025-07-02 13:15:23] Key: Q | CPU: 1.2% | RAM: 90.1% | Disk: 59105106432 | Net: (25675269, 143261016) | Procs: 221
[2025-07-02 13:15:24] Key: 6 | CPU: 1.8% | RAM: 90.1% | Disk: 59105106432 | Net: (25675269, 143261078) | Procs: 221
[2025-07-02 13:15:24] Key: U | CPU: 4.3% | RAM: 89.6% | Disk: 59105106432 | Net: (25675269, 143261078) | Procs: 221
[2025-07-02 13:15:24] Key: a | CPU: 3.2% | RAM: 89.5% | Disk: 59105391104 | Net: (25675269, 143261132) | Procs: 221
[2025-07-02 13:15:24] Key: I | CPU: 2.4% | RAM: 89.5% | Disk: 59105391104 | Net: (25675269, 143261192) | Procs: 221
[2025-07-02 13:15:25] Key: P | CPU: 0.6% | RAM: 89.5% | Disk: 59105391104 | Net: (25675269, 143261192) | Procs: 221
[2025-07-02 13:15:25] Key: K | CPU: 0.6% | RAM: 89.5% | Disk: 59105391104 | Net: (25675269, 143261192) | Procs: 221
[2025-07-02 13:15:25] Key: 8 | CPU: 1.2% | RAM: 89.7% | Disk: 59105980928 | Net: (25682332, 143261444) | Procs: 221
[2025-07-02 13:15:26] Key: P | CPU: 6.7% | RAM: 89.6% | Disk: 59105980928 | Net: (25682506, 143264280) | Procs: 221
[2025-07-02 13:15:26] Key: B | CPU: 1.2% | RAM: 89.6% | Disk: 59105980928 | Net: (25682506, 143264342) | Procs: 221
[2025-07-02 13:15:26] Key: v | CPU: 0.0% | RAM: 89.6% | Disk: 59105980928 | Net: (25682506, 143264342) | Procs: 221
[2025-07-02 13:15:27] Key: C | CPU: 0.6% | RAM: 89.6% | Disk: 59106049536 | Net: (25682506, 143264342) | Procs: 221
[2025-07-02 13:15:27] Key: P | CPU: 0.0% | RAM: 89.6% | Disk: 59106049536 | Net: (25682506, 143264342) | Procs: 221
[2025-07-02 13:15:27] Key: V | CPU: 0.0% | RAM: 89.6% | Disk: 59106049536 | Net: (25682506, 143264342) | Procs: 221
[2025-07-02 13:15:28] Key: 8 | CPU: 1.2% | RAM: 89.8% | Disk: 59106090496 | Net: (25686038, 143268533) | Procs: 221
[2025-07-02 13:15:28] Key: S | CPU: 0.6% | RAM: 89.7% | Disk: 59106246656 | Net: (25686275, 143269535) | Procs: 221
[2025-07-02 13:15:28] Key: 9 | CPU: 0.0% | RAM: 89.7% | Disk: 59106246656 | Net: (25686275, 143269535) | Procs: 221
[2025-07-02 13:15:29] Key: S | CPU: 1.2% | RAM: 89.7% | Disk: 59106246656 | Net: (25686275, 143269643) | Procs: 221
[2025-07-02 13:15:29] Key: X | CPU: 0.6% | RAM: 89.7% | Disk: 59106246656 | Net: (25686275, 143269643) | Procs: 221
[2025-07-02 13:15:29] Key: u | CPU: 0.0% | RAM: 89.7% | Disk: 59106246656 | Net: (25686275, 143269643) | Procs: 221
[2025-07-02 13:15:30] Key: c | CPU: 1.9% | RAM: 89.7% | Disk: 59106304000 | Net: (25686275, 143269703) | Procs: 221
[2025-07-02 13:15:30] Key: o | CPU: 1.2% | RAM: 89.7% | Disk: 59106304000 | Net: (25686275, 143269765) | Procs: 221
[2025-07-02 13:15:30] Key: h | CPU: 0.6% | RAM: 89.8% | Disk: 59106308096 | Net: (25686275, 143269765) | Procs: 221
[2025-07-02 13:15:31] Key: C | CPU: 1.9% | RAM: 89.9% | Disk: 59106308096 | Net: (25686275, 143269765) | Procs: 221
[2025-07-02 13:15:31] Key: p | CPU: 0.6% | RAM: 89.9% | Disk: 59106534912 | Net: (25686275, 143269765) | Procs: 221
[2025-07-02 13:15:31] Key: P | CPU: 0.6% | RAM: 89.9% | Disk: 59106534912 | Net: (25686275, 143269765) | Procs: 221
[2025-07-02 13:15:31] Key: m | CPU: 1.2% | RAM: 89.9% | Disk: 59106534912 | Net: (25686275, 143269765) | Procs: 221
[2025-07-02 13:15:32] Key: u | CPU: 0.0% | RAM: 89.9% | Disk: 59106534912 | Net: (25686275, 143269819) | Procs: 221
[2025-07-02 13:15:32] Key: M | CPU: 0.0% | RAM: 89.9% | Disk: 59106535936 | Net: (25686275, 143269819) | Procs: 221
[2025-07-02 13:15:32] Key: D | CPU: 1.2% | RAM: 89.9% | Disk: 59106535936 | Net: (25686275, 143269819) | Procs: 221
[2025-07-02 13:15:33] Key: 9 | CPU: 1.3% | RAM: 89.9% | Disk: 59106535936 | Net: (25686372, 143269927) | Procs: 221
[2025-07-02 13:15:33] Key: L | CPU: 2.5% | RAM: 89.9% | Disk: 59106535936 | Net: (25686372, 143269927) | Procs: 221
[2025-07-02 13:15:33] Key: Z | CPU: 1.8% | RAM: 89.7% | Disk: 59106535936 | Net: (25686372, 143269927) | Procs: 220
[2025-07-02 13:15:34] Key: i | CPU: 1.8% | RAM: 89.3% | Disk: 59106545152 | Net: (25686372, 143269981) | Procs: 219
[2025-07-02 13:15:34] Key: C | CPU: 0.6% | RAM: 89.3% | Disk: 59106545152 | Net: (25686372, 143269981) | Procs: 219
[2025-07-02 13:15:34] Key: V | CPU: 0.6% | RAM: 89.3% | Disk: 59106545152 | Net: (25686372, 143270041) | Procs: 219
[2025-07-02 13:15:35] Key: u | CPU: 0.0% | RAM: 89.3% | Disk: 59106545152 | Net: (25686372, 143270375) | Procs: 219
[2025-07-02 13:15:35] Key: x | CPU: 3.1% | RAM: 89.4% | Disk: 59106551296 | Net: (25687803, 143272153) | Procs: 219
[2025-07-02 13:15:35] Key: j | CPU: 0.0% | RAM: 89.4% | Disk: 59106551296 | Net: (25687803, 143272215) | Procs: 219
[2025-07-02 13:15:36] Key: m | CPU: 1.8% | RAM: 89.4% | Disk: 59106551296 | Net: (25687803, 143272215) | Procs: 219
[2025-07-02 13:15:36] Key: U | CPU: 0.6% | RAM: 89.4% | Disk: 59106551296 | Net: (25687803, 143272215) | Procs: 219
[2025-07-02 13:15:36] Key: x | CPU: 1.2% | RAM: 89.4% | Disk: 59106566144 | Net: (25687803, 143272504) | Procs: 219
[2025-07-02 13:15:37] Key: f | CPU: 0.6% | RAM: 89.4% | Disk: 59106566144 | Net: (25687803, 143272504) | Procs: 219
[2025-07-02 13:15:37] Key: e | CPU: 1.2% | RAM: 89.4% | Disk: 59106566144 | Net: (25687803, 143273112) | Procs: 219
[2025-07-02 13:15:37] Key: 3 | CPU: 0.6% | RAM: 89.4% | Disk: 59106566144 | Net: (25687803, 143273202) | Procs: 219
[2025-07-02 13:15:38] Key: r | CPU: 0.0% | RAM: 89.4% | Disk: 59106683904 | Net: (25687803, 143273256) | Procs: 219
[2025-07-02 13:15:38] Key: B | CPU: 0.6% | RAM: 89.4% | Disk: 59106683904 | Net: (25687803, 143273544) | Procs: 219
[2025-07-02 13:15:38] Key: i | CPU: 0.0% | RAM: 89.4% | Disk: 59106683904 | Net: (25687803, 143273544) | Procs: 219
[2025-07-02 13:15:39] Key: T | CPU: 2.4% | RAM: 89.4% | Disk: 59106683904 | Net: (25687803, 143273544) | Procs: 219
[2025-07-02 13:15:39] Key: J | CPU: 0.6% | RAM: 89.4% | Disk: 59106683904 | Net: (25687803, 143273544) | Procs: 219
[2025-07-02 13:15:39] Key: o | CPU: 1.2% | RAM: 89.4% | Disk: 59106695680 | Net: (25687803, 143273770) | Procs: 219
[2025-07-02 13:15:39] Key: M | CPU: 1.2% | RAM: 89.4% | Disk: 59106695680 | Net: (25687803, 143273770) | Procs: 219
[2025-07-02 13:15:40] Key: h | CPU: 0.0% | RAM: 89.4% | Disk: 59106695680 | Net: (25687803, 143273830) | Procs: 219
[2025-07-02 13:15:40] Key: u | CPU: 1.3% | RAM: 89.4% | Disk: 59106695680 | Net: (25688099, 143273938) | Procs: 219
[2025-07-02 13:15:40] Key: 7 | CPU: 0.0% | RAM: 89.4% | Disk: 59106707968 | Net: (25688099, 143273938) | Procs: 219
[2025-07-02 13:15:41] Key: P | CPU: 1.8% | RAM: 89.1% | Disk: 59106707968 | Net: (25688099, 143273938) | Procs: 219
[2025-07-02 13:15:41] Key: 4 | CPU: 0.6% | RAM: 89.1% | Disk: 59106707968 | Net: (25688099, 143273938) | Procs: 219
[2025-07-02 13:15:41] Key: C | CPU: 0.6% | RAM: 89.1% | Disk: 59106707968 | Net: (25688099, 143273938) | Procs: 219
[2025-07-02 13:15:42] Key: q | CPU: 0.6% | RAM: 89.1% | Disk: 59106750464 | Net: (25688099, 143273998) | Procs: 219
[2025-07-02 13:15:42] Key: 4 | CPU: 1.2% | RAM: 89.1% | Disk: 59106750464 | Net: (25688099, 143273998) | Procs: 219
[2025-07-02 13:15:42] Key: U | CPU: 0.6% | RAM: 89.1% | Disk: 59106750464 | Net: (25688099, 143273998) | Procs: 219
[2025-07-02 13:15:43] Key: G | CPU: 0.6% | RAM: 89.1% | Disk: 59106750464 | Net: (25688154, 143274052) | Procs: 219
[2025-07-02 13:15:43] Key: l | CPU: 0.6% | RAM: 89.1% | Disk: 59106755584 | Net: (25688241, 143274195) | Procs: 219
[2025-07-02 13:15:43] Key: P | CPU: 1.2% | RAM: 89.1% | Disk: 59106755584 | Net: (25688241, 143274195) | Procs: 219
[2025-07-02 13:15:44] Key: i | CPU: 0.0% | RAM: 89.1% | Disk: 59106755584 | Net: (25688241, 143274257) | Procs: 219
[2025-07-02 13:15:44] Key: f | CPU: 23.3% | RAM: 87.6% | Disk: 59106755584 | Net: (25688241, 143274257) | Procs: 219
[2025-07-02 13:15:44] Key: 0 | CPU: 7.3% | RAM: 87.7% | Disk: 59106755584 | Net: (25688241, 143274257) | Procs: 219
[2025-07-02 13:15:45] Key: e | CPU: 6.5% | RAM: 87.5% | Disk: 59106761216 | Net: (25688940, 143274433) | Procs: 219
[2025-07-02 13:15:45] Key: k | CPU: 1.2% | RAM: 87.5% | Disk: 59106761216 | Net: (25688940, 143275013) | Procs: 219
[2025-07-02 13:15:45] Key: V | CPU: 0.6% | RAM: 87.5% | Disk: 59106761216 | Net: (25688940, 143275067) | Procs: 219
[2025-07-02 13:15:46] Key: 1 | CPU: 0.6% | RAM: 87.5% | Disk: 59106761216 | Net: (25688940, 143275067) | Procs: 219
[2025-07-02 13:15:46] Key: 3 | CPU: 0.0% | RAM: 87.5% | Disk: 59106763264 | Net: (25688940, 143275067) | Procs: 219
[2025-07-02 13:15:46] Key: c | CPU: 1.3% | RAM: 87.5% | Disk: 59106763264 | Net: (25688940, 143275067) | Procs: 219
[2025-07-02 13:15:46] Key: 8 | CPU: 0.0% | RAM: 87.5% | Disk: 59106763264 | Net: (25688940, 143275356) | Procs: 219
[2025-07-02 13:15:47] Key: t | CPU: 1.3% | RAM: 87.5% | Disk: 59106763264 | Net: (25688940, 143275356) | Procs: 219
[2025-07-02 13:15:47] Key: 5 | CPU: 0.6% | RAM: 87.5% | Disk: 59107756544 | Net: (25688995, 143275422) | Procs: 219
[2025-07-02 13:15:47] Key: b | CPU: 1.2% | RAM: 87.5% | Disk: 59107756544 | Net: (25688995, 143275422) | Procs: 219
